Company,CMP (Rs),P/E (x),MCap (Rs m),"D/E (Curr FY, x)","RoE (5 yrs, Avg. %)",Div Payout Ratio,"Profit CAGR (3 yrs,  %)"
ZOMATO,184.1,462.9,"16,24,607",0.0,0.0%,0.0,NM
ADANI GREEN ENERGY ,"1,863.8",304.0,"29,52,320",10.6,19.9%,0.0,90.6%
ADANI TOTAL GAS,978.4,165.6,"10,76,054",0.4,22.5%,4.1,12.3%
BHARTI AIRTEL,"1,425.8",147.9,"86,63,484",2.1,6.1%,19.4,NM
TRENT,"4,971.1",130.5,"17,67,146",0.1,11.5%,7.7,NM
DLF,844.7,128.2,"20,90,772",0.1,1.5%,89.9,NM
AVENUE SUPERMARTS ,"4,745.5",121.8,"30,88,021",0.0,12.6%,0.0,22.3%
ABB INDIA,"8,071.7",116.9,"17,10,461",0.0,14.0%,49.7,75.6%
CG POWER & INDUSTRIAL,663.0,116.2,"10,12,649",0.0,21.7%,28.8,NM
ADANI ENTERPRISES,"3,218.7",111.4,"36,69,322",1.4,5.4%,4.5,64.0%
SIEMENS,"6,873.9",104.8,"24,47,935",0.0,11.3%,18.2,36.6%
ADANI TRANSMISSION,"1,021.2",95.0,"11,39,085",2.9,14.6%,0.0,NM
HAVELLS INDIA,"1,854.4",91.4,"11,62,090",0.0,18.1%,44.4,6.8%
MACROTECH DEVELOPERS,"1,435.3",91.1,"14,27,674",0.7,14.8%,19.7,NM
PIDILITE INDUSTRIES,"3,123.0",90.7,"15,88,362",0.0,21.0%,43.4,4.7%
VARUN BEVERAGES,"1,518.1",89.2,"19,72,660",0.7,20.7%,15.5,80.5%
TITAN,"3,443.5",87.5,"30,57,047",0.6,21.9%,27.1,29.9%
TATA CONSUMER,"1,135.9",83.2,"10,82,325",0.2,6.8%,56.8,9.4%
HDFC LIFE INSURANCE,562.8,76.9,"12,10,551",0.1,15.3%,29.8,1.8%
NESTLE,"2,503.6",75.5,"24,13,864",0.0,91.1%,8.9,6.7%
SBI LIFE INSURANCE ,"1,425.9",75.4,"14,28,017",0.0,14.9%,14.5,6.6%
DIVIS LABORATORIES,"4,524.9",75.1,"12,01,206",0.0,19.8%,43.7,9.8%
